CODG_UND_MED,DESC_UND_MED
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
45,Pessoas
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
1738,Óbitos por 100 mil nascidos vivos
